epoch,accuracy,loss,val_accuracy,val_loss
0,0.3858289420604706,1.320313572883606,0.45821326971054077,1.2632941007614136
1,0.6695266962051392,0.9520798325538635,0.6887608170509338,0.9057482481002808
2,0.7987821698188782,0.5668733716011047,0.6887608170509338,0.7967830300331116
3,0.8519235849380493,0.4003448188304901,0.680115282535553,0.8460121750831604
4,0.8854137659072876,0.32166236639022827,0.6945244669914246,0.8379178643226624
5,0.9072792530059814,0.2610566020011902,0.6743515729904175,0.8930860161781311
6,0.9280376434326172,0.21969327330589294,0.6858789920806885,0.9478392004966736
7,0.9357874393463135,0.18489722907543182,0.6685879230499268,1.0094939470291138
8,0.9504566788673401,0.1590908169746399,0.680115282535553,1.0467197895050049
9,0.9582064747810364,0.13415764272212982,0.6945244669914246,1.1035550832748413
10,0.9640188217163086,0.12254470586776733,0.6829971075057983,1.155677318572998
11,0.9654027223587036,0.11399106681346893,0.6657060384750366,1.2364227771759033
12,0.9659562706947327,0.10614636540412903,0.6858789920806885,1.271072506904602
13,0.9706615209579468,0.09385577589273453,0.680115282535553,1.3172670602798462
14,0.972875714302063,0.08910736441612244,0.680115282535553,1.347497820854187
15,0.9745364189147949,0.08379144966602325,0.6657060384750366,1.3938640356063843
16,0.977027416229248,0.07932844758033752,0.6714697480201721,1.4585212469100952
17,0.974259614944458,0.07932983338832855,0.6887608170509338,1.439862847328186
18,0.975643515586853,0.07462553679943085,0.6772334575653076,1.5071063041687012
19,0.975643515586853,0.07641155272722244,0.6743515729904175,1.4584324359893799
20,0.976473867893219,0.07167515903711319,0.6657060384750366,1.523763656616211
21,0.975089967250824,0.06588473170995712,0.6743515729904175,1.532277226448059
22,0.9789648652076721,0.06661506742238998,0.6743515729904175,1.5837980508804321
23,0.9778577089309692,0.06110256165266037,0.680115282535553,1.6318371295928955
24,0.9786880612373352,0.06345471739768982,0.680115282535553,1.627814769744873
